label,0x0,0x1,0x2,0x3,0x4,0x5,0x6,0x7,0x8,0x9,0x10,0x11,0x12,0x13,1x0,1x1,1x2,1x3,1x4,1x5,1x6,1x7,1x8,1x9,1x10,1x11,1x12,1x13,2x0,2x1,2x2,2x3,2x4,2x5,2x6,2x7,2x8,2x9,2x10,2x11,2x12,2x13,3x0,3x1,3x2,3x3,3x4,3x5,3x6,3x7,3x8,3x9,3x10,3x11,3x12,3x13,4x0,4x1,4x2,4x3,4x4,4x5,4x6,4x7,4x8,4x9,4x10,4x11,4x12,4x13,5x0,5x1,5x2,5x3,5x4,5x5,5x6,5x7,5x8,5x9,5x10,5x11,5x12,5x13,6x0,6x1,6x2,6x3,6x4,6x5,6x6,6x7,6x8,6x9,6x10,6x11,6x12,6x13,7x0,7x1,7x2,7x3,7x4,7x5,7x6,7x7,7x8,7x9,7x10,7x11,7x12,7x13,8x0,8x1,8x2,8x3,8x4,8x5,8x6,8x7,8x8,8x9,8x10,8x11,8x12,8x13,9x0,9x1,9x2,9x3,9x4,9x5,9x6,9x7,9x8,9x9,9x10,9x11,9x12,9x13,10x0,10x1,10x2,10x3,10x4,10x5,10x6,10x7,10x8,10x9,10x10,10x11,10x12,10x13,11x0,11x1,11x2,11x3,11x4,11x5,11x6,11x7,11x8,11x9,11x10,11x11,11x12,11x13,12x0,12x1,12x2,12x3,12x4,12x5,12x6,12x7,12x8,12x9,12x10,12x11,12x12,12x13,13x0,13x1,13x2,13x3,13x4,13x5,13x6,13x7,13x8,13x9,13x10,13x11,13x12,13x13
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,67,0,0,0,0,0,0,0,0,0,0,0,0,124,243,151,24,6,11,8,11,7,0,0,0,0,0,0,57,230,252,235,252,243,252,200,0,0,0,0,0,0,0,0,51,68,105,72,200,139,0,0,0,0,0,0,0,0,0,0,0,6,250,45,0,0,0,0,0,0,0,0,0,0,0,127,199,1,0,0,0,0,0,0,0,0,0,0,18,223,85,0,0,0,0,0,0,0,0,0,0,0,96,186,0,0,0,0,0,0,0,0,0,0,0,3,226,83,0,0,0,0,0,0,0,0,0,0,0,78,252,87,0,0,0,0,0,0,0,0,0,0,0,41,88,3,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,239,207,159,32,0,0,0,0,0,0,0,0,0,32,191,207,255,207,16,0,0,0,0,0,0,0,0,0,0,0,47,239,95,0,0,0,0,0,0,0,0,0,48,79,111,239,111,0,0,0,0,0,0,0,0,95,255,255,255,255,191,0,0,0,0,0,0,0,0,79,207,191,143,79,239,143,0,0,0,0,0,0,0,0,0,0,0,0,191,191,0,0,0,0,0,0,0,0,0,0,16,111,255,143,0,0,0,0,0,0,159,159,111,143,223,255,127,0,0,0,0,0,0,0,32,175,239,239,191,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,126,23,0,0,0,0,0,0,0,16,122,246,246,248,248,38,0,0,0,0,0,0,0,174,231,119,108,252,118,0,0,0,0,0,0,0,17,236,117,82,249,159,4,0,0,0,0,0,0,0,0,163,238,209,172,48,0,0,0,0,0,0,0,0,0,86,252,253,22,0,0,0,0,0,0,0,0,0,6,169,157,198,184,0,0,0,0,0,0,0,0,0,165,207,3,118,205,0,0,0,0,0,0,0,0,28,244,103,55,229,136,0,0,0,0,0,0,0,0,80,251,212,239,161,2,0,0,0,0,0,0,0,0,0,116,103,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55,210,232,61,0,0,0,0,0,0,0,0,3,168,252,234,247,204,0,0,0,0,0,0,0,0,125,252,131,42,245,193,0,0,0,0,0,0,0,0,210,219,4,178,252,116,0,0,0,0,0,0,0,0,202,249,226,252,226,36,0,0,0,0,0,0,0,0,60,186,249,253,91,0,0,0,0,0,0,0,0,0,0,0,152,245,20,0,0,0,0,0,0,0,0,0,0,7,205,240,0,0,0,0,0,0,0,0,0,0,0,48,252,200,0,0,0,0,0,0,0,0,0,0,0,105,252,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,246,253,249,150,12,0,0,0,0,0,0,0,30,246,199,136,176,253,195,0,0,0,0,0,0,0,2,46,1,0,8,228,250,0,0,0,0,0,0,0,0,0,0,34,120,253,146,0,0,0,0,0,0,0,0,0,135,249,253,253,86,0,0,0,0,0,0,0,0,28,246,244,177,248,176,0,0,0,0,0,4,11,0,0,67,25,41,245,125,0,0,0,0,0,165,197,25,0,5,75,223,207,24,0,0,0,0,0,197,217,136,136,196,253,222,35,0,0,0,0,0,0,56,217,253,243,188,109,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,137,212,115,0,0,0,0,0,0,0,0,0,74,202,57,24,192,61,0,0,0,0,0,0,0,44,201,53,0,2,194,111,0,0,0,0,0,0,0,180,61,0,15,182,243,25,0,0,0,0,0,0,38,185,0,9,130,207,196,0,0,0,0,0,0,0,76,223,154,217,85,200,41,0,0,0,0,0,0,0,3,96,128,18,83,171,0,0,0,0,0,0,0,0,0,0,0,0,180,78,0,0,0,0,0,0,0,0,0,0,0,34,236,3,0,0,0,0,0,0,0,0,0,0,0,163,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,205,0,0,0,73,173,25,0,0,0,0,0,6,227,248,173,174,201,251,201,2,0,0,0,0,0,107,253,216,159,128,118,253,99,0,0,0,0,0,20,216,234,27,0,0,121,234,16,0,0,0,0,0,120,242,65,0,0,14,243,159,0,0,0,0,0,0,14,38,0,0,0,135,253,79,0,0,0,0,0,0,0,0,0,0,21,232,186,1,0,0,0,0,0,0,0,0,0,12,195,247,43,0,0,0,0,0,0,0,0,0,0,119,253,182,50,0,0,0,0,0,0,0,0,0,0,73,239,254,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,36,106,71,0,0,0,0,0,0,0,0,0,56,233,223,126,233,0,0,0,0,0,0,0,0,40,222,227,45,0,248,0,0,0,0,0,0,0,0,208,182,20,0,35,227,0,0,0,0,0,0,0,0,106,5,0,0,86,141,0,0,0,0,0,0,0,0,0,0,0,0,177,71,0,0,0,0,0,0,0,0,0,0,0,66,202,0,0,0,0,0,0,0,0,0,0,0,5,212,86,0,0,0,0,0,0,0,0,0,0,0,127,202,0,0,0,0,0,0,0,0,0,0,0,36,248,86,0,0,0,0,0,0,0,0,0,0,0,45,116,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,80,14,67,92,127,43,0,0,0,0,0,26,102,195,252,226,157,132,98,115,3,0,0,0,0,2,93,224,39,5,0,0,0,0,0,0,0,0,0,0,61,195,2,0,0,0,0,0,0,0,0,0,0,0,38,210,127,48,1,0,0,0,0,0,0,0,0,0,0,25,98,188,195,110,11,0,0,0,0,0,0,0,0,0,0,0,41,160,208,11,0,0,0,0,0,0,0,0,0,0,0,35,226,16,0,0,0,0,31,65,0,0,0,2,99,223,72,0,0,0,0,0,0,150,195,154,170,217,181,56,0,0,0,0,0,0,0,2,42,116,110,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,58,0,0,0,0,0,0,0,0,94,129,0,0,76,222,0,0,0,0,0,0,0,7,205,157,0,0,76,240,12,0,0,0,0,0,0,25,253,106,0,0,76,253,25,0,0,0,0,0,0,71,253,30,0,0,101,253,103,7,0,0,0,0,0,76,253,48,30,91,200,253,215,7,0,0,0,0,0,17,225,253,253,253,253,240,42,0,0,0,0,0,0,0,48,151,141,80,235,197,0,0,0,0,0,0,0,0,0,0,0,48,251,100,0,0,0,0,0,0,0,0,0,0,0,71,253,50,0,0,0,0,0,0,0,0,0,0,0,2,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
